stop_code,stop_name,stop_lat,stop_lon,zone_id
59681,Westbound Rumble St @ Sussex Ave,49.214867,-123.005284,BUS ZN
51024,Northbound West Blvd @ W 37 Ave,49.238609,-123.155335,BUS ZN
59606,Southbound Willingdon Ave @ Maywood St,49.224417,-123.011162,BUS ZN
59607,Northbound Willingdon Extension @ Imperial St,49.222365,-123.012456,BUS ZN
59744,Southbound Griffiths Dr @ 14 Ave,49.209454,-122.953563,BUS ZN
59739,Southbound Byrne Rd @ Meadow Ave,49.204316,-122.977921,BUS ZN
59741,Westbound Southridge Dr @ Byrnepark Dr,49.205818,-122.968894,BUS ZN
59742,Eastbound Southridge Dr @ Byrnepark Dr,49.205619,-122.967999,BUS ZN
59745,Northbound Griffiths Dr @ 10 Ave,49.206235,-122.952433,BUS ZN
59743,Northbound Griffiths Dr @ 14 Ave,49.2102,-122.954091,BUS ZN
59774,Westbound Lougheed Hwy @ 226 St,49.217181,-122.59665,BUS ZN
59773,Westbound Lougheed Hwy @ 224 St,49.217028,-122.601051,BUS ZN
59778,Northbound 227 St @ Dewdney Trunk Rd,49.220874,-122.59391,BUS ZN
59777,Northbound 227 St @ 121 Ave,49.22277,-122.593855,BUS ZN
59254,Eastbound Southridge Dr @ Marine Dr,49.204851,-122.975514,BUS ZN
51026,Northbound Arbutus St @ Quilchena Cres,49.241393,-123.153894,BUS ZN
59765,Westbound Great Northern Way @ Foley St,49.266404,-123.087137,BUS ZN
59761,Westbound E 2nd Ave @ Main St,49.269283,-123.101217,BUS ZN
59751,Westbound W 6th Ave @ Alder Crossing,49.266199,-123.132576,BUS ZN
59754,Eastbound W 6th Ave @ Heather St,49.265832,-123.120144,BUS ZN
51027,Northbound Arbutus St @ W 33 Ave,49.242436,-123.153359,BUS ZN
61039,Olympic Village Station @ Bay 2,49.266425,-123.114936,BUS ZN
59758,Eastbound W 2nd Ave @ Columbia St,49.269029,-123.109733,BUS ZN
59760,Eastbound E 2nd Ave @ Ontario St,49.269125,-123.104153,BUS ZN
59763,Eastbound Great Northern Way @ Brunswick St,49.266743,-123.095812,BUS ZN
59766,Eastbound Great Northern Way @ Foley St,49.266021,-123.086122,BUS ZN
59646,Northbound West St @ Maple Meadows Station,49.216888,-122.664763,BUS ZN
51028,Northbound Arbutus St @ Valley Dr,49.245478,-123.153186,BUS ZN
